dataset,minsup_pct,n_itemsets,time_mine_ms,time_spmf_ms
Chess,0.9,622,3.15,58.0
Chess,0.85,2669,4.68,66.0
Chess,0.8,8227,7.31,75.0
Chess,0.75,20993,16.09,106.0
Chess,0.7,48731,27.63,139.0
Mushroom,0.5,163,4.5,75.0
Mushroom,0.4,505,6.47,82.0
Mushroom,0.3,2587,8.45,98.0
Mushroom,0.2,53337,18.06,162.0
Mushroom,0.15,99071,26.53,190.0
Retail,0.1,9,34.21,233.0
Retail,0.05,16,36.97,226.0
Retail,0.02,55,36.48,232.0
Retail,0.01,159,52.07,281.0
Retail,0.005,580,191.13,368.0
Accidents,0.9,31,261.42,911.0
Accidents,0.8,149,338.72,1006.0
Accidents,0.7,529,437.47,1132.0
Accidents,0.6,2074,657.68,1321.0
Accidents,0.5,8057,919.74,1579.0
